file,num_valid_nodes,max_intensity,mean_intensity,num_above_threshold
15499.pt,30,14.150943756103516,1.0000000168879828,2
7713.pt,26,13.078471183776855,1.0000000074505806,1
7702.pt,25,12.569130897521973,1.000000073313713,1
4974.pt,26,12.258368492126465,0.9999999896838114,1
19231.pt,69,11.459891319274902,1.000000050102455,4
15519.pt,23,11.10574722290039,1.000000100420869,1
19188.pt,44,10.853477478027344,0.9999999661337245,2
7645.pt,22,10.689990997314453,1.0000000467354602,1
7647.pt,22,10.280374526977539,1.000000062313947,1
7660.pt,23,10.132159233093262,1.0000000596046448,1
7615.pt,21,9.740259170532227,0.9999999652306238,1
16134.pt,27,9.639413833618164,0.9999999464661987,1
7662.pt,23,9.468916893005371,0.9999999585358993,1
19229.pt,63,9.43396282196045,1.0000000406825353,4
7586.pt,20,8.928569793701172,0.999999824166298,1
15079.pt,22,8.87096881866455,1.0000000955028967,1
5991.pt,20,8.368199348449707,0.9999998465180397,1
11138.pt,21,8.155340194702148,1.0000000638621194,1
7501.pt,19,7.615230560302734,1.0000000094112598,1
7506.pt,19,7.524752616882324,1.0000000149011612,1
1251.pt,57,7.404520034790039,0.9999998969989911,4
7581.pt,20,7.393715858459473,1.0000000834465026,1
7614.pt,21,7.189319133758545,1.0000000361885344,1
7838.pt,35,7.05360746383667,1.0000000272478375,2
1630.pt,20,6.993007183074951,1.0000000506639481,1
11662.pt,35,6.967947483062744,0.9999999846730914,2
7366.pt,14,6.954794406890869,1.0000000766345434,1
5932.pt,22,6.658596038818359,1.0000000487674365,2
7649.pt,22,6.656580924987793,1.000000005418604,1
19180.pt,40,6.607202053070068,1.0000000171363355,2
7682.pt,24,6.553795337677002,0.9999999143183231,1
2669.pt,18,6.486486434936523,0.9999999983443154,1
11494.pt,24,6.442953109741211,0.9999999913076559,1
7918.pt,18,6.403415203094482,0.9999999751647314,1
10752.pt,24,6.401707649230957,1.0000000521540642,1
10995.pt,19,6.364359378814697,1.2631578696401495,1
12321.pt,21,6.315789699554443,1.0000000283831643,1
2701.pt,18,6.289309024810791,1.000000117553605,1
7622.pt,18,6.267409324645996,0.999999980131785,1
2887.pt,19,6.033661365509033,0.9999999639235044,1
19078.pt,40,6.002400875091553,1.0000000089406966,2
16053.pt,35,5.919160842895508,0.9999999386923654,2
7503.pt,19,5.8371734619140625,1.0000000094112598,1
2510.pt,20,5.817336082458496,1.0000000685453414,1
51279.pt,38,5.77750301361084,1.000000010979803,1
7826.pt,17,5.756857395172119,0.9999999877284554,1
7678.pt,24,5.737509250640869,1.000000026077032,1
7502.pt,19,5.7228922843933105,1.0000001537172418,1
119.pt,18,5.694400310516357,0.9999999950329462,1
7579.pt,20,5.644933223724365,0.9999999418854714,1
1934.pt,22,5.575266361236572,1.0000000162558123,1
5956.pt,17,5.3042120933532715,1.0000000035061556,1
645.pt,17,5.271317481994629,0.9999999246176552,1
11739.pt,20,5.270092964172363,1.0000001162290573,1
7833.pt,17,5.250154495239258,1.0000000298023224,1
