SU_Name,SU_Index,Count,PPM_Min,PPM_Max,PPM_Mean,PPM_Std
Amide_Group,0,679,150.30999755859375,181.72000122070312,166.37809980389648,6.629604971719162
Carboxylic_Acid,1,957,158.47999572753906,189.49000549316406,173.81078379281263,4.917420600962115
Ester_Group,2,1527,150.6199951171875,182.33999633789062,169.67633917008496,4.4146812687432035
Aldehyde_Ketone_C,3,1202,150.74000549316406,223.19000244140625,192.75098199574603,13.904484729545485
Nitrile_C,4,261,101.72000122070312,149.44000244140625,117.99026828342014,3.8671154049749337
O_Substituted_Aro_C,5,1794,129.1999969482422,164.88999938964844,153.51365679482552,6.059696966004166
N_Substituted_Aro_C,6,802,119.30999755859375,164.00999450683594,144.6431546009092,6.930460660164334
S_Substituted_Aro_C,7,217,114.41000366210938,164.64999389648438,135.62391655565955,8.283192771142211
X_Substituted_Aro_C,8,1321,100.0,164.32000732421875,127.86579869029921,10.0124903751135
Keto_Substituted_Aro_C,9,1345,100.05999755859375,155.05999755859375,129.7942452526447,8.615135720418397
Aryl_Substituted_Aro_C,10,450,110.87000274658203,164.80999755859375,139.08651095920138,6.674716430779926
Alkyl_Substituted_Aro_C,11,3290,100.86000061035156,163.5,135.41474768455993,9.682068653210866
Aromatic_Bridgehead_C,12,1127,120.58999633789062,141.9499969482422,132.02897964924335,4.493578216707063
Carbocyclic_Aro_CH,13,18986,100.0199966430664,149.9499969482422,125.74223585338747,6.913934201762201
Vinyllic_Cq,14,483,101.43000030517578,171.89999389648438,140.0520288376581,12.760417452670993
Vinyllic_CH,15,1478,100.66999816894531,165.77000427246094,131.40135986266182,8.88395434421428
Vinyllic_CH2,16,340,101.37999725341797,133.5500030517578,117.04479406020221,6.093353006521232
Alkynyl_Cq,17,238,60.68000030517578,106.5999984741211,81.67533602033343,7.51307807873157
Alkynyl_CH,18,64,64.44000244140625,79.02999877929688,71.13390588760376,3.12838750268275
Alcohol_Ether_C,19,4643,40.43000030517578,99.98999786376953,65.81655606827088,8.901281267566912
Amine_C,20,2291,35.29999923706055,84.81999969482422,49.815604549159865,7.178834598692245
Halogenated_C,21,537,23.1200008392334,79.80999755859375,46.22245813792422,11.914383160154067
Alkyl_CH3,22,7604,8.0,44.41999816894531,19.804517356926738,6.177113162781654
Alkyl_CH2,23,13753,10.479999542236328,63.470001220703125,29.64826800115393,6.272892586666373
Alkyl_CH,24,1842,16.639999389648438,66.0,38.809701471194124,9.400826208953209
Alkyl_Cq,25,662,16.780000686645508,69.83999633789062,40.00628403090278,7.386859332805397
Heterocyclic_N,26,0,0.0,0.0,0.0,0.0
Amine_Nitrogen,27,0,0.0,0.0,0.0,0.0
Hydroxyl_O,28,0,0.0,0.0,0.0,0.0
Ether_O,29,0,0.0,0.0,0.0,0.0
Heterocyclic_S,30,0,0.0,0.0,0.0,0.0
Thioether_S,31,0,0.0,0.0,0.0,0.0
Halogen_X,32,0,0.0,0.0,0.0,0.0
