SU_Index,SU_Name,Total_Count
0,Amide_Group,680
1,Carboxylic_Acid,957
2,Ester_Group,1527
3,Aldehyde_Ketone_C,1202
4,Nitrile_C,261
5,O_Substituted_Aro_C,1795
6,N_Substituted_Aro_C,802
7,S_Substituted_Aro_C,217
8,X_Substituted_Aro_C,1321
9,Keto_Substituted_Aro_C,1347
10,Aryl_Substituted_Aro_C,450
11,Alkyl_Substituted_Aro_C,3290
12,Aromatic_Bridgehead_C,1127
13,Carbocyclic_Aro_CH,19000
14,Vinyllic_Cq,483
15,Vinyllic_CH,1479
16,Vinyllic_CH2,340
17,Alkynyl_Cq,238
18,Alkynyl_CH,64
19,Alcohol_Ether_C,4643
20,Amine_C,2291
21,Halogenated_C,537
22,Alkyl_CH3,7605
23,Alkyl_CH2,13762
24,Alkyl_CH,1845
25,Alkyl_Cq,663
26,Heterocyclic_N,504
27,Amine_Nitrogen,1526
28,Hydroxyl_O,1995
29,Ether_O,1596
30,Heterocyclic_S,108
31,Thioether_S,459
32,Halogen_X,2040
