chemical_shift;intensity
0.100000;0.200070
0.200000;0.256405
0.300000;0.312739
0.400000;0.364978
0.500000;0.416106
0.600000;0.448877
0.700000;0.485745
0.800000;0.522613
0.900000;0.578155
1.000000;0.682502
1.100000;0.738837
1.200000;0.774689
1.300000;0.794156
1.400000;0.809363
1.500000;0.805266
1.600000;0.784784
1.700000;0.768399
1.800000;0.719044
1.900000;0.650420
2.000000;0.573603
2.100000;0.545944
2.200000;0.530806
2.300000;0.514420
2.400000;0.502131
2.500000;0.489841
2.600000;0.465263
2.700000;0.433240
2.800000;0.385099
2.900000;0.336957
3.000000;0.259840
3.100000;0.151267
3.200000;0.000000
3.300000;0.067781
3.400000;0.252839
3.500000;0.385951
3.600000;0.478098
3.700000;0.598920
3.800000;0.719742
3.900000;0.820728
4.000000;0.885216
4.100000;0.919609
4.200000;0.948648
4.300000;0.996138
4.400000;1.116960
4.500000;1.311518
4.600000;1.407323
4.700000;1.488197
4.800000;1.555188
4.900000;1.613076
5.000000;1.664801
5.100000;1.697533
5.200000;1.730264
5.300000;1.768615
5.400000;1.803921
5.500000;1.832048
5.600000;1.876053
5.700000;1.910309
5.800000;1.926655
5.900000;1.938904
6.000000;1.959347
6.100000;1.989573
6.200000;2.090929
6.300000;2.204134
6.400000;2.469517
6.500000;2.739032
6.600000;2.914186
6.700000;3.003253
6.800000;3.059547
6.900000;3.132228
7.000000;3.179685
7.100000;3.212417
7.200000;3.264244
7.300000;3.283671
7.400000;3.285354
7.500000;3.277801
7.600000;3.277761
7.700000;3.281817
7.800000;3.281064
7.900000;3.269449
8.000000;3.248927
8.100000;3.214352
8.200000;3.146437
8.300000;3.230548
8.400000;3.475602
8.500000;3.570047
8.600000;3.668089
8.700000;3.739987
8.800000;3.793434
8.900000;3.815709
9.000000;3.817933
9.100000;3.862556
9.200000;3.923146
9.300000;4.061370
9.400000;4.125006
9.500000;4.141352
9.600000;4.174084
9.700000;4.219105
9.800000;4.260915
9.900000;4.284568
10.000000;4.313203
10.100000;4.333646
10.200000;4.329510
10.300000;4.321277
10.400000;4.317141
10.500000;4.313005
10.600000;4.296579
10.700000;4.296539
10.800000;4.281191
10.900000;4.241202
11.000000;4.193021
11.100000;4.120234
11.200000;4.051597
11.300000;3.960394
11.400000;3.970593
11.500000;4.120090
11.600000;4.209149
11.700000;4.277733
11.800000;4.317642
11.900000;4.349358
12.000000;4.431205
12.100000;4.644416
12.200000;4.801167
12.300000;5.025449
12.400000;5.435950
12.500000;5.727620
12.600000;5.857650
12.700000;5.971295
12.800000;6.031686
12.900000;6.085805
13.000000;6.118536
13.100000;6.134882
13.200000;6.159421
13.300000;6.258345
13.400000;6.591345
13.500000;6.733340
13.600000;6.875301
13.700000;6.939789
13.800000;6.983794
13.900000;7.027800
14.000000;7.052125
14.100000;7.072567
14.200000;7.090177
14.300000;7.101163
14.400000;7.092930
14.500000;7.074191
14.600000;7.043693
14.700000;6.998310
14.800000;6.922187
14.900000;6.830560
15.000000;6.819563
15.100000;6.834577
15.200000;6.870706
15.300000;6.891847
15.400000;6.921849
15.500000;7.011267
15.600000;7.132753
15.700000;7.242302
15.800000;7.360043
15.900000;7.465881
16.000000;7.566220
16.100000;7.674753
16.200000;7.836540
16.300000;7.944652
16.400000;8.017333
16.500000;8.110495
16.600000;8.202502
16.700000;8.349160
16.800000;8.610069
16.900000;8.741221
17.000000;8.838480
17.100000;8.898871
17.200000;8.935210
17.300000;8.974593
17.400000;9.107701
17.500000;9.304816
17.600000;9.405156
17.700000;9.478329
17.800000;9.524858
17.900000;9.574533
18.000000;9.683623
18.100000;9.898663
18.200000;10.105511
18.300000;10.345129
18.400000;10.502819
18.500000;10.626299
18.600000;10.878833
18.700000;11.044902
18.800000;11.158936
18.900000;11.239420
